,Chromosome,Start,End,Nclone
0,1,2927,43870,3
1,1,85022,216735,4
2,1,370546,372295,4
3,1,471671,786483,5
4,1,792533,907406,13
5,1,912799,1266212,96
6,1,1271190,1590570,45
7,1,1676445,1703748,4
8,1,1738295,2477597,104
9,1,2481927,2562342,14
10,1,2574555,2580342,2
11,1,2611444,2641811,12
12,1,2643540,2645074,2
13,1,2664285,2665530,2
14,1,2672694,2832087,14
15,1,2854198,2856899,2
16,1,2870100,2880675,6
17,1,2882919,2901629,9
18,1,2903052,3112977,27
19,1,3125822,3135062,2
20,1,3136815,3137481,2
21,1,3149648,3157982,2
22,1,3166706,3521038,47
23,1,3521345,3798798,42
24,1,3810936,6606212,213
25,1,6613363,8038878,160
26,1,8050444,10537398,265
27,1,10551320,12533269,211
28,1,12544104,12768740,27
29,1,12774453,12788158,2
30,1,12800742,12805297,2
31,1,12833868,13002452,6
32,1,13520352,15852641,211
33,1,15858551,16119613,39
34,1,16126501,16531740,50
35,1,16551324,16592466,5
36,1,16672053,16680432,2
37,1,16693433,16750002,3
38,1,16757397,16794038,5
39,1,16799163,16836986,3
40,1,16954838,16997273,7
41,1,17030134,17037487,2
42,1,17042808,19187091,207
43,1,19200088,21470929,235
44,1,21483025,21545437,5
45,1,21558697,22668805,107
46,1,22674759,23463832,82
47,1,23469376,25318800,184
48,1,25354765,25402278,5
49,1,25414726,25433465,4
50,1,25441018,26227863,102
51,1,26233527,26722236,59
52,1,26737835,26751009,3
53,1,26758077,27414811,92
54,1,27418631,27637052,27
55,1,27650970,27755668,12
56,1,27765928,29080585,137
57,1,29088543,30687222,80
58,1,30716764,30984527,19
59,1,31006782,31124964,12
60,1,31136968,31957740,91
61,1,31968013,33181040,142
62,1,33189868,34166798,102
63,1,34172947,35330813,82
64,1,35336344,35895515,59
65,1,35903416,37578554,144
66,1,37599215,38399540,90
67,1,38432360,38569674,5
68,1,38648737,39428343,70
69,1,39437661,40202959,89
70,1,40207650,40612758,45
71,1,40617288,40677227,10
72,1,40682830,41867848,116
73,1,41873732,42747586,86
74,1,42754729,43839204,123
75,1,43848683,44593810,85
76,1,44600018,45223413,73
77,1,45231107,46047207,90
78,1,46054586,46436383,40
79,1,46445058,47002412,69
80,1,47020328,47076960,4
81,1,47089264,48831518,138
82,1,48841029,48963712,15
83,1,48974558,49671800,66
84,1,49686548,50400238,58
85,1,50444082,51401581,79
86,1,51408483,52434446,103
87,1,52445317,53651141,136
88,1,53661750,55331098,190
89,1,55339131,55523339,13
90,1,55559966,56093730,31
91,1,56126922,56811818,33
92,1,56820392,57352466,61
93,1,57359130,58257959,101
94,1,58269395,58818282,54
95,1,58829706,59938549,86
96,1,59947024,60037860,9
97,1,60048731,60931948,49
98,1,60943372,61455192,37
99,1,61460755,62257156,71
100,1,62265513,62775298,54
101,1,62781892,63279284,31
102,1,63297252,63739396,40
103,1,63746181,64381618,65
104,1,64392452,65044702,55
105,1,65061124,65363623,27
106,1,65377733,65684038,35
107,1,65691013,66605594,87
108,1,66624841,66943717,33
109,1,66956044,67293111,38
110,1,67304899,67564224,26
111,1,67574404,69349603,118
112,1,69374719,70163952,48
113,1,70172264,70544007,39
114,1,70553640,70787481,16
115,1,70848676,70955685,7
116,1,70968966,72065805,106
117,1,72080289,72473289,41
118,1,72489681,72620747,5
119,1,72661597,74078153,44
120,1,74137824,74816963,66
121,1,74824437,75454027,38
122,1,75473473,76096464,60
123,1,76105071,76128015,4
124,1,76167515,76719796,56
125,1,76735134,77210667,41
126,1,77217365,77934334,77
127,1,77945975,79392599,117
128,1,79437815,80901791,47
129,1,80938887,81107155,6
130,1,81184008,83075209,95
131,1,83100179,83359798,18
132,1,83381408,83603746,10
133,1,83635029,84586214,84
134,1,84590209,84901413,38
135,1,84921910,86224479,136
136,1,86236843,87585025,115
137,1,87607672,87697095,3
138,1,87749501,87791319,2
139,1,87839437,89193171,81
140,1,89198467,91213470,153
141,1,91230845,91708215,35
142,1,91714670,93739491,194
143,1,93748351,97087853,241
144,1,97110991,102417008,384
145,1,102443157,103810269,69
146,1,103819551,103875725,6
147,1,104018651,104671817,24
148,1,104696813,106107236,42
149,1,106163050,107403052,43
150,1,107408809,108467581,105
151,1,108571690,109922013,155
152,1,109933787,109968401,4
153,1,109987805,110453999,56
154,1,110464125,110577138,10
155,1,110588200,112717534,216
156,1,112725478,113471063,78
157,1,113508337,114220736,71
158,1,114228794,114235706,4
159,1,114245958,114853862,52
160,1,114863525,115372000,54
161,1,115389481,116062013,43
162,1,116081666,116824183,53
163,1,116847623,116861515,3
164,1,116880909,116906096,3
165,1,116925150,116938461,3
166,1,116948867,117006671,8
167,1,117015146,117751415,63
168,1,117757490,118781178,71
169,1,118811438,119105315,9
170,1,119131184,119266053,15
171,1,119271891,119774102,45
172,1,119783556,119942294,16
173,1,119963572,120232261,33
174,1,120313797,120384620,2
175,1,120405944,120737345,3
176,1,120761983,120923696,11
177,1,141474904,141491470,3
178,1,141500919,141527782,5
179,1,142116690,142435868,6
180,1,142444242,142565191,14
181,1,142570866,142598507,4
182,1,142610589,142871406,4
183,1,142877399,143526765,60
184,1,143543580,144966156,111
185,1,144975464,145023947,3
186,1,145647143,145716245,2
187,1,145820605,146012014,9
188,1,146473741,146512434,3
189,1,146525071,146549143,3
190,1,146581869,146634734,4
191,1,146661770,149362629,356
192,1,149369522,149394958,5
193,1,149403519,149573806,31
194,1,149579637,149582884,2
195,1,149591108,149598429,2
196,1,149604744,150808620,174
197,1,150815602,151998352,164
198,1,151998685,152605084,79
199,1,152617283,155145482,300
200,1,155152973,156497370,150
201,1,156504203,156715120,31
202,1,156722904,157446463,94
203,1,157457777,157769567,42
204,1,157779753,158111315,62
205,1,158123386,158211115,15
206,1,158222895,158292447,7
207,1,158296040,158314837,6
208,1,158319014,158365270,9
209,1,158378189,158382079,2
210,1,158392593,158736756,45
211,1,158747329,164242059,441
212,1,164247118,165948301,160
213,1,165958802,165988174,3
214,1,166003996,166010822,2
215,1,166018172,168812476,254
216,1,168818982,172497794,338
217,1,172527923,176446701,347
218,1,176455950,179420685,272
219,1,179443743,179575821,12
220,1,179581225,181371569,169
221,1,181387023,182641159,106
222,1,182657845,186034550,184
223,1,186062909,186274119,10
224,1,186293872,189329179,155
225,1,189337051,193443252,206
226,1,193480150,193527058,6
227,1,193556792,193630262,10
228,1,193652057,199041703,471
229,1,199047681,199054142,2
230,1,199087690,199111062,4
231,1,199135441,199222301,8
232,1,199273751,199356111,10
233,1,199363774,201157571,209
234,1,201169853,202358631,134
235,1,202366885,203532522,135
236,1,203539204,205954108,165
237,1,205966175,208143743,229
238,1,208148352,209359643,112
239,1,209366118,211118685,137
240,1,211126341,211395327,20
241,1,211438238,212152890,39
242,1,212163869,213601626,150
243,1,213607905,215165364,99
244,1,215199726,217395427,156
245,1,217416088,219300768,59
246,1,219311634,221538990,132
247,1,221557056,224126341,262
248,1,224140920,225920251,169
249,1,225926558,231061656,435
250,1,231067740,234760702,314
251,1,234776770,236274333,71
252,1,236280081,237042779,78
253,1,237050563,238730140,160
254,1,238747201,239156984,32
255,1,239190321,239313778,5
256,1,239337733,239364269,2
257,1,239391358,239517083,4
258,1,239544570,239630032,2
259,1,239663268,244617610,524
260,1,244627520,244676774,8
261,1,244693374,244865778,25
262,1,244870377,244942436,11
263,1,244947984,244955806,2
264,1,244961779,244970723,2
265,1,245009770,245014643,2
266,1,245054641,245071941,3
267,1,245082256,245121447,7
268,1,245134410,245140268,2
269,1,245150122,245299678,10
270,1,245308564,245433846,22
271,2,712,125634,50
272,2,143031,165346,3
273,2,167106,176745,2
274,2,196212,479448,36
275,2,485052,3016048,237
276,2,3072994,4495693,111
277,2,4600483,5064198,49
278,2,5117160,8963807,205
279,2,8972669,10440704,145
280,2,10446234,11268822,84
281,2,11273719,11824126,56
282,2,11839789,15741307,219
283,2,15752122,20346474,256
284,2,20354952,22147571,108
285,2,22164275,23148262,38
286,2,23178086,23798605,45
287,2,23809995,25541135,190
288,2,25551899,29745341,500
289,2,29758580,34597887,412
290,2,34614581,34702220,5
291,2,34730412,34868034,6
292,2,34904779,39267014,335
293,2,39284752,41599090,149
294,2,41616449,43362384,148
295,2,43367043,44064629,82
296,2,44073585,44107287,5
297,2,44112923,46581831,233
298,2,46600135,47534465,97
299,2,47541529,48962866,132
300,2,49007696,50317220,81
301,2,50329312,56794730,510
302,2,56853626,57106587,9
303,2,57141220,60843704,199
304,2,60860846,61005290,14
305,2,61025070,61061211,5
306,2,61069435,67262586,542
307,2,67280403,69113514,151
308,2,69119613,73764874,471
309,2,73769146,74670974,128
310,2,74676485,81995821,504
311,2,82033369,87033744,352
312,2,87287735,87839798,10
313,2,88099999,89162648,97
314,2,89203734,89712785,13
315,2,89727641,89953713,11
316,2,91057159,91234354,10
317,2,91240477,91321476,2
318,2,91494116,91569435,2
319,2,91683845,94918111,7
320,2,94940234,94964565,6
321,2,94970664,98466443,288
322,2,98472519,101487776,313
323,2,101508783,106387775,321
324,2,106409285,110341019,241
325,2,110563411,111085061,2
326,2,111108426,113884106,257
327,2,113910766,114036896,5
328,2,114146068,115199661,72
329,2,115206978,115251658,5
330,2,115260305,116378260,119
331,2,116395687,120822517,278
332,2,120829609,123225447,150
333,2,123281054,126438234,174
334,2,126478953,126745976,8
335,2,126799274,126901119,5
336,2,126922829,130410215,228
337,2,130427665,130453073,5
338,2,130458581,131785093,82
339,2,131792734,131931782,5
340,2,131945577,132042781,9
341,2,132067307,132196569,13
342,2,132210961,132323628,7
343,2,132327604,132349355,3
344,2,132419295,132947789,21
345,2,132974227,139709714,538
346,2,139773806,147365650,533
347,2,147413433,147652606,8
348,2,147700457,158902610,717
349,2,158911197,159695436,72
350,2,159712195,164848314,421
351,2,164879282,165653813,63
352,2,165662108,171006374,490
353,2,171017426,173478545,232
354,2,173485322,174896336,119
355,2,174901679,180212390,481
356,2,180223718,187349250,468
357,2,187359105,190451844,224
358,2,190458269,190481066,5
359,2,190485380,196058781,305
360,2,196090504,198648767,257
361,2,198658046,216382286,1522
362,2,216395222,217154796,85
363,2,217169713,224771175,648
364,2,224833869,229675328,409
365,2,229700351,231853847,223
366,2,231862922,233057465,133
367,2,233066421,235036486,210
368,2,235061664,235732587,40
369,2,235740357,236665001,73
370,2,236672959,242242118,561
371,2,242430070,242784096,24
372,3,39066,342654,27
373,3,348251,478718,13
374,3,515536,517145,2
375,3,521064,574415,60
376,3,586636,625689,5
377,3,641257,4099960,316
378,3,4109224,4214897,8
379,3,4226329,9771752,439
380,3,9779380,9918123,31
381,3,9923074,11677508,187
382,3,11686988,12710784,108
383,3,12735694,14873985,189
384,3,14887411,16613213,183
385,3,16617887,16778176,9
386,3,16792439,18668016,159
387,3,18712267,19922255,72
388,3,19936335,24520200,307
389,3,24543616,25463517,63
390,3,25470432,29923292,300
391,3,29936736,31279861,78
392,3,31298148,34796905,280
393,3,34840321,39070614,379
394,3,39083092,41241584,183
395,3,41249898,46752789,532
396,3,46761824,46823673,5
397,3,46829442,48626775,220
398,3,48631976,48677740,8
399,3,48686316,50274167,224
400,3,50277922,50326943,14
401,3,50330225,54374166,487
402,3,54381805,55759111,127
403,3,55767891,60816395,504
404,3,60825422,64093778,311
405,3,64100021,65243724,77
406,3,65284372,69024511,274
407,3,69036237,69714887,73
408,3,69736891,71096721,71
409,3,71105921,71561684,50
410,3,71570203,73535935,139
411,3,73545783,75469606,115
412,3,75479859,75535753,2
413,3,75546791,75799957,5
414,3,75845446,75858339,2
415,3,75870144,75896020,3
416,3,75914406,75957900,3
417,3,75971233,76019295,2
418,3,76042344,77513375,93
419,3,77524016,79388058,134
420,3,79401618,80929281,83
421,3,80959005,82751614,99
422,3,82801964,84189335,45
423,3,84212782,84761534,17
424,3,84773539,86079447,134
425,3,86093476,86238114,19
426,3,86304015,87271517,43
427,3,87287192,87311658,2
428,3,87336579,87661897,21
429,3,87696516,88166248,24
430,3,88179775,88662813,36
431,3,88671596,89473678,63
432,3,89488409,89516057,5
433,3,89531802,89654152,15
434,3,89663968,90219681,38
435,3,90236603,90284660,4
436,3,90296455,90391698,10
437,3,95043863,95338953,36
438,3,95346425,97340020,70
439,3,97384282,97943959,22
440,3,97955574,100144881,237
441,3,100159418,103058802,254
442,3,103067334,103845179,57
443,3,103869497,105247720,47
444,3,105296320,106577524,44
445,3,106589477,111089189,342
446,3,111105693,113356479,147
447,3,113370366,113847282,51
448,3,113854434,114473399,51
449,3,114484581,115444884,109
450,3,115450295,119473378,290
451,3,119496988,123302196,346
452,3,123307820,126884366,394
453,3,127015333,127130406,5
454,3,127138046,128434521,125
455,3,128485208,128664764,9
456,3,128683027,130206126,164
457,3,130220686,130840184,85
458,3,130849527,131199964,38
459,3,131215316,131299415,3
460,3,131310594,136853762,499
461,3,136891846,137841243,79
462,3,137852057,143671669,475
463,3,143686906,144718154,103
464,3,144727213,153247166,598
465,3,153300999,156963893,216
466,3,156981865,160212878,294
467,3,160231691,163957219,288
468,3,163966040,163987465,3
469,3,163997236,164023510,2
470,3,164038925,164101784,6
471,3,164112881,164333847,15
472,3,164343718,164427869,8
473,3,164454066,166625316,90
474,3,166639991,168786545,129
475,3,168804852,170462923,109
476,3,170472437,173237997,277
477,3,173247425,173637617,47
478,3,173645852,176989598,309
479,3,177004388,181135381,268
480,3,181148817,181183735,5
481,3,181189842,185001990,247
482,3,185013005,186735226,204
483,3,186745732,193414542,575
484,3,193425674,193467200,5
485,3,193476462,196656506,303
486,3,196908262,196937230,6
487,3,196947293,196962380,4
488,3,196972157,199325300,261
489,3,199333505,199383479,2
490,4,5224,61876,23
491,4,62447,79281,6
492,4,81744,90787,2
493,4,96888,175366,9
494,4,185368,826605,88
495,4,833085,843614,2
496,4,846154,890807,12
497,4,897264,916652,3
498,4,917610,3551253,287
499,4,3556852,3568531,3
500,4,3573080,3641241,9
501,4,3673803,4147283,26
502,4,4308119,4314081,2
503,4,4327213,4358339,5
504,4,4360195,8850748,490
505,4,9047040,9477600,17
506,4,9490990,15375010,363
507,4,15384438,24218777,600
508,4,24224491,26261405,163
509,4,26278444,30019771,149
510,4,30083533,30560722,33
511,4,30573671,31049842,37
512,4,31107518,36697482,208
513,4,36738699,36983238,8
514,4,37025175,37407426,31
515,4,37413005,41489363,397
516,4,41496099,42685919,96
517,4,42710489,45504577,147
518,4,45535603,45884120,14
519,4,45894555,47334481,134
520,4,47347301,48644676,147
521,4,48659573,48887700,23
522,4,48893757,48924159,3
523,4,49056466,49422736,2
524,4,52530029,52542008,2
525,4,52552859,52866092,37
526,4,52891744,53940563,93
527,4,53947082,54222055,29
528,4,54233704,54818502,58
529,4,54830408,56191506,88
530,4,56204828,56528111,21
531,4,56538786,56886195,28
532,4,56900758,57769341,100
533,4,57777789,59357407,57
534,4,59395290,60641180,43
535,4,60678904,61229724,18
536,4,61252645,62435526,80
537,4,62446231,63222419,53
538,4,63275984,64652340,38
539,4,64680305,65414644,36
540,4,65481054,65744197,14
541,4,65794186,66816761,72
542,4,66835016,67211677,12
543,4,67234063,67381734,4
544,4,67404716,67833957,13
545,4,67867679,69042487,107
546,4,69215734,69311985,10
547,4,69789443,70305861,49
548,4,70334625,70410860,8
549,4,70442343,70445716,2
550,4,70473911,70726327,24
551,4,70749905,71906729,124
552,4,71911043,72985198,100
553,4,72994111,74368203,93
554,4,74379535,74719357,35
555,4,74730754,75668590,106
556,4,75673613,76622083,53
557,4,76653831,77049387,42
558,4,77061006,77300382,34
559,4,77303574,77856862,61
560,4,77863667,78685195,90
561,4,78691810,79606045,82
562,4,79616351,80607032,93
563,4,80615625,81139934,28
564,4,81162799,82540203,134
565,4,82569422,84308939,125
566,4,84316855,87125034,224
567,4,87135123,88309706,126
568,4,88320867,88381178,7
569,4,88392625,89297860,90
570,4,89306720,89782811,50
571,4,89790637,91468725,138
572,4,91479631,92419006,111
573,4,92426426,93211181,61
574,4,93240865,100160841,545
575,4,100169541,102644734,204
576,4,102672728,104401802,147
577,4,104413477,106965473,164
578,4,106972190,110834066,297
579,4,110841462,119681984,552
580,4,119714411,119812578,8
581,4,119819380,119910398,6
582,4,119958548,120638168,79
583,4,120650347,124374816,281
584,4,124390047,126128011,99
585,4,126172292,132931013,328
586,4,132983429,133222805,10
587,4,133264013,133574024,16
588,4,133582875,133743518,12
589,4,133758444,135910286,94
590,4,135920331,141938438,327
591,4,141948988,142632507,71
592,4,142656232,143241597,29
593,4,143274574,145390888,165
594,4,145396784,148091215,206
595,4,148098972,152558944,372
596,4,152569997,157221896,371
597,4,157228097,162174965,294
598,4,162205286,162321148,5
599,4,162347852,163724527,105
600,4,163764301,166540017,215
601,4,166559793,171072076,345
602,4,171088261,178331211,505
603,4,178373531,178507603,5
604,4,178531509,182779062,165
605,4,182828885,186804557,348
606,4,186810460,186843576,5
607,4,186862697,186942944,10
608,4,186950719,188875290,189
609,4,188886189,190844427,150
610,4,190887518,191025356,9
611,4,191037678,191046020,2
612,4,191062719,191134340,7
613,4,191144773,191165971,2
614,4,191191940,191311992,11
615,5,75149,90692,2
616,5,103093,277082,20
617,5,285775,706486,48
618,5,714149,719885,2
619,5,725942,745859,3
620,5,763494,786455,3
621,5,802518,826044,4
622,5,837253,859176,3
623,5,873416,878290,2
624,5,916822,999736,11
625,5,1007442,2438174,145
626,5,2448553,4633545,163
627,5,4645911,6343008,87
628,5,6356267,9839414,264
629,5,9867745,12822565,227
630,5,12835355,15170666,156
631,5,15204662,17067228,156
632,5,17100908,17382633,25
633,5,17406393,17549618,9
634,5,17570523,17719479,9
635,5,17739874,17979702,15
636,5,18001755,18894305,26
637,5,18945305,20776045,115
638,5,20792335,21966989,69
639,5,21979223,22038375,6
640,5,22056803,26293381,245
641,5,26323047,30449516,149
642,5,30493484,32133136,121
643,5,32146491,32203336,9
644,5,32209048,34105512,187
645,5,34119335,34407822,6
646,5,34446079,35291657,82
647,5,35313005,36062965,59
648,5,36075592,36816672,56
649,5,36845462,39113391,205
650,5,39121212,41235739,133
651,5,41241052,41596520,35
652,5,41620761,43330593,152
653,5,43332656,44495322,85
654,5,44516010,44864831,19
655,5,44870238,45938397,72
656,5,49619946,49866980,14
657,5,49892983,49980085,5
658,5,49988952,50268244,23
659,5,50324634,51282261,35
660,5,51321507,51678728,13
661,5,51720583,51852968,6
662,5,51881238,54336548,201
663,5,54350373,55141379,94
664,5,55148225,57204282,139
665,5,57220729,57800810,25
666,5,57805582,58473974,67
667,5,58484078,60277014,174
668,5,60285997,62401952,135
669,5,62457701,65999278,299
670,5,66011537,68773114,198
671,5,68785515,68850823,9
672,5,69274433,70345552,5
673,5,70422297,70698794,4
674,5,70716278,70721505,2
675,5,70752359,71062539,40
676,5,71077546,89933522,1459
677,5,89942176,93303306,213
678,5,93308740,93320336,2
679,5,93328253,96508341,310
680,5,96522323,96603723,9
681,5,96637773,98418818,77
682,5,98471909,100277629,79
683,5,100290917,104805236,243
684,5,104851801,108410768,202
685,5,108424581,119080004,756
686,5,119108165,125801997,366
687,5,125809649,131839536,505
688,5,131845023,140196482,920
689,5,140203440,140221835,5
690,5,140228321,140427074,29
691,5,140433878,142819410,270
692,5,142831583,149027600,525
693,5,149050787,150137980,144
694,5,150148732,150201145,5
695,5,150224239,152555267,187
696,5,152572508,153979903,115
697,5,154006451,157875296,310
698,5,157900279,159729154,155
699,5,159735059,161722215,163
700,5,161749783,162958203,55
701,5,162999771,166652000,130
702,5,166676986,169967887,316
703,5,169983718,171644531,159
704,5,171653443,173359849,145
705,5,173368856,173702519,22
706,5,173739318,175537148,103
707,5,175563657,175907334,40
708,5,175923647,177416642,167
709,5,177429941,178551058,140
710,5,178560621,179290850,85
711,5,179309126,179400068,16
712,5,179411268,180184269,88
713,5,180342860,180362342,4
714,5,180379352,180644810,41
715,6,5839,85465,12
716,6,92884,125392,9
717,6,126550,142586,3
718,6,146738,154410,3
719,6,204528,238441,4
720,6,252939,284743,4
721,6,295212,314420,3
722,6,315257,320890,2
723,6,334423,600935,34
724,6,611289,618999,3
725,6,623776,634345,6
726,6,655129,1291357,69
727,6,1292057,1353261,10
728,6,1358498,1359129,2
729,6,1361599,1435871,5
730,6,1436117,1512043,22
731,6,1535319,2846224,137
732,6,2851182,4639919,182
733,6,4651403,4923955,32
734,6,4933188,6340443,138
735,6,6356121,7863271,125
736,6,7879466,9392103,69
737,6,9450338,11338185,188
738,6,11346965,12462252,89
739,6,12512986,14535258,172
740,6,14553443,16323782,102
741,6,16343597,18497312,196
742,6,18502918,18536678,5
743,6,18550170,19001738,26
744,6,19049822,20716660,98
745,6,20726739,22048197,107
746,6,22060377,24236375,102
